epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7867.77,1.27372,0.57855,1.06115,0.89867,0.95788,0.97698,0.60918,1.37107,0.52725,1.08708,0.007228,0.007228,0.007228
44,8056.27,1.27019,0.57684,1.06199,0.91027,0.93561,0.97623,0.60646,1.36602,0.52854,1.08478,0.007162,0.007162,0.007162
45,8239.31,1.26575,0.56816,1.05972,0.88882,0.9558,0.97569,0.60576,1.36974,0.53028,1.0874,0.007096,0.007096,0.007096
46,8421.78,1.26776,0.57209,1.0565,0.92609,0.92182,0.97673,0.6086,1.36456,0.52755,1.08509,0.00703,0.00703,0.00703
47,8605.03,1.25765,0.56626,1.05766,0.92682,0.92398,0.97724,0.61347,1.34309,0.52315,1.07885,0.006964,0.006964,0.006964
48,8786.98,1.25796,0.56537,1.05869,0.92697,0.92903,0.97691,0.61373,1.34083,0.52396,1.077,0.006898,0.006898,0.006898
49,8968.54,1.25369,0.56664,1.0532,0.9065,0.94394,0.97722,0.61126,1.34478,0.52267,1.07782,0.006832,0.006832,0.006832
50,9158,1.24259,0.55984,1.05103,0.91509,0.93675,0.97721,0.61479,1.33759,0.52206,1.0751,0.006766,0.006766,0.006766
51,9339.5,1.24793,0.56179,1.05426,0.90407,0.94918,0.97659,0.614,1.33536,0.52089,1.07446,0.0067,0.0067,0.0067
52,9522.75,1.24224,0.55116,1.04932,0.91657,0.94697,0.97714,0.61656,1.32812,0.51568,1.0714,0.006634,0.006634,0.006634
53,9703.93,1.237,0.55434,1.04743,0.9057,0.95342,0.97628,0.61678,1.3236,0.51455,1.07158,0.006568,0.006568,0.006568
54,9885,1.2391,0.55068,1.05001,0.91674,0.94313,0.97711,0.61917,1.3255,0.51396,1.07192,0.006502,0.006502,0.006502
55,10066.4,1.22855,0.54799,1.0467,0.92186,0.93939,0.97886,0.62165,1.32814,0.50958,1.07303,0.006436,0.006436,0.006436
56,10254.8,1.22213,0.54453,1.03982,0.93693,0.92416,0.97916,0.62131,1.3235,0.50681,1.07072,0.00637,0.00637,0.00637
57,10436.4,1.21892,0.54472,1.04242,0.93617,0.92266,0.97912,0.62402,1.31818,0.50893,1.06848,0.006304,0.006304,0.006304
58,10619.1,1.20787,0.53873,1.03861,0.92829,0.93696,0.97919,0.62168,1.32312,0.51169,1.07025,0.006238,0.006238,0.006238
59,10800.6,1.21363,0.53875,1.03621,0.92095,0.94095,0.97912,0.62096,1.31993,0.5108,1.06915,0.006172,0.006172,0.006172
60,10983.2,1.21184,0.53362,1.03725,0.93092,0.93039,0.97851,0.62363,1.3152,0.50632,1.06864,0.006106,0.006106,0.006106
61,11165.3,1.20447,0.53027,1.03759,0.92974,0.93266,0.97851,0.6199,1.32112,0.50817,1.07057,0.00604,0.00604,0.00604
62,11346.8,1.20153,0.5313,1.03739,0.92739,0.93482,0.97804,0.61994,1.31562,0.50935,1.06855,0.005974,0.005974,0.005974
