epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.703,2.0262,3.14838,1.48902,0.66687,0.68249,0.71928,0.31699,1.88034,1.22825,1.33885,0.00331723,0.00331723,0.00331723
2,367.641,1.63189,0.99178,1.23595,0.76383,0.77219,0.82377,0.41308,1.70241,1.39207,1.26352,0.00651888,0.00651888,0.00651888
3,552.06,1.65276,1.01278,1.23218,0.38152,0.30696,0.26713,0.11197,2.40675,3.64461,1.60619,0.00958853,0.00958853,0.00958853
4,734.656,1.6558,1.00679,1.23528,0.71621,0.69462,0.74655,0.32009,1.9067,1.19331,1.36086,0.009406,0.009406,0.009406
5,916.119,1.60781,0.92813,1.21067,0.80462,0.85024,0.90031,0.47124,1.63352,0.85752,1.21519,0.009208,0.009208,0.009208
6,1100.02,1.55889,0.8677,1.18715,0.83244,0.83365,0.8906,0.3451,2.09709,0.91048,1.44125,0.00901,0.00901,0.00901
7,1282.79,1.53842,0.83117,1.18224,0.84048,0.86105,0.92641,0.49306,1.61498,0.79628,1.1894,0.008812,0.008812,0.008812
8,1468.71,1.51119,0.79344,1.15861,0.8497,0.91235,0.94861,0.51683,1.59321,0.72497,1.19066,0.008614,0.008614,0.008614
9,1652.14,1.49418,0.77504,1.15781,0.8809,0.86145,0.92504,0.51809,1.52316,0.73736,1.15435,0.008416,0.008416,0.008416
10,1836.68,1.47359,0.75503,1.14909,0.84572,0.88506,0.94189,0.53292,1.52782,0.71253,1.15334,0.008218,0.008218,0.008218
11,2019.7,1.45421,0.73315,1.14156,0.85837,0.87773,0.93619,0.49611,1.62719,0.72175,1.20289,0.00802,0.00802,0.00802
12,2203.07,1.4515,0.72462,1.1375,0.89221,0.91784,0.96119,0.55249,1.48079,0.65733,1.13665,0.007822,0.007822,0.007822
13,2386.92,1.43865,0.71483,1.13307,0.88726,0.90001,0.95661,0.55793,1.48255,0.65677,1.13664,0.007624,0.007624,0.007624
14,2569.59,1.42241,0.69776,1.12638,0.89894,0.90531,0.96053,0.54978,1.47417,0.6675,1.13096,0.007426,0.007426,0.007426
15,2754.79,1.41145,0.68722,1.11792,0.89414,0.93563,0.96922,0.56973,1.4649,0.6169,1.12397,0.007228,0.007228,0.007228
16,2940.71,1.40789,0.68235,1.11657,0.8954,0.91117,0.96401,0.57295,1.43336,0.61211,1.11495,0.00703,0.00703,0.00703
17,3124.41,1.39316,0.67194,1.11332,0.88899,0.92992,0.96245,0.57085,1.42597,0.60887,1.11577,0.006832,0.006832,0.006832
18,3307.69,1.38285,0.65946,1.10914,0.90413,0.91606,0.96644,0.56485,1.45167,0.60755,1.12182,0.006634,0.006634,0.006634
19,3490.79,1.36254,0.64742,1.1009,0.89844,0.91705,0.96817,0.57199,1.44554,0.58962,1.11847,0.006436,0.006436,0.006436
20,3674.04,1.36521,0.64234,1.09838,0.91364,0.91958,0.96682,0.57775,1.41456,0.60025,1.10754,0.006238,0.006238,0.006238
21,3857.82,1.35647,0.63964,1.09357,0.90495,0.92806,0.96474,0.5688,1.46485,0.59318,1.12448,0.00604,0.00604,0.00604
22,4039.98,1.34984,0.63414,1.09158,0.89709,0.92461,0.96876,0.58228,1.39124,0.59029,1.09916,0.005842,0.005842,0.005842
23,4222.38,1.34301,0.62602,1.09197,0.89998,0.93942,0.97046,0.59115,1.39951,0.58142,1.09947,0.005644,0.005644,0.005644
24,4404.43,1.32931,0.61781,1.08623,0.9023,0.92186,0.96806,0.58415,1.41943,0.57951,1.1022,0.005446,0.005446,0.005446
25,4586.83,1.32748,0.61367,1.08296,0.91231,0.94484,0.97436,0.58895,1.40117,0.55625,1.09672,0.005248,0.005248,0.005248
26,4768.16,1.3113,0.60426,1.07777,0.90774,0.93693,0.97367,0.59265,1.39537,0.5558,1.09781,0.00505,0.00505,0.00505
27,4949.83,1.3087,0.5977,1.0733,0.9033,0.93675,0.97159,0.58835,1.41392,0.55991,1.10429,0.004852,0.004852,0.004852
28,5131.43,1.30245,0.59329,1.07466,0.91709,0.92857,0.97344,0.591,1.40173,0.55592,1.09829,0.004654,0.004654,0.004654
29,5313.63,1.29558,0.58867,1.06939,0.91163,0.94029,0.97331,0.59284,1.39374,0.54667,1.09754,0.004456,0.004456,0.004456
30,5495.34,1.28619,0.58011,1.06677,0.90535,0.93648,0.9704,0.57191,1.45788,0.58032,1.11876,0.004258,0.004258,0.004258
31,5676.41,1.27197,0.57224,1.0613,0.91451,0.93458,0.97425,0.60782,1.36986,0.54148,1.08819,0.00406,0.00406,0.00406
32,5857.5,1.26976,0.56446,1.0603,0.91474,0.93536,0.9745,0.60074,1.38885,0.54735,1.09475,0.003862,0.003862,0.003862
33,6039.19,1.25741,0.5599,1.05596,0.92706,0.93644,0.97689,0.60672,1.37312,0.53653,1.09018,0.003664,0.003664,0.003664
34,6220.37,1.25601,0.55657,1.05692,0.93023,0.93852,0.97839,0.61389,1.35157,0.52184,1.07967,0.003466,0.003466,0.003466
35,6401.79,1.2359,0.54758,1.05075,0.91074,0.94595,0.97624,0.60901,1.35694,0.53549,1.08317,0.003268,0.003268,0.003268
36,6582.84,1.23553,0.54716,1.05127,0.91181,0.93773,0.97493,0.60382,1.36938,0.53727,1.08618,0.00307,0.00307,0.00307
37,6764.78,1.22533,0.54019,1.04387,0.91799,0.93711,0.97447,0.60711,1.36849,0.53544,1.08585,0.002872,0.002872,0.002872
38,6947,1.21431,0.5368,1.03956,0.92432,0.93105,0.9752,0.60338,1.37676,0.53175,1.08862,0.002674,0.002674,0.002674
39,7129.06,1.20786,0.52922,1.03713,0.92785,0.92815,0.97484,0.60307,1.36973,0.53151,1.08712,0.002476,0.002476,0.002476
