epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,48195.5,1.34459,2.65229,1.87175,0.13649,0.54008,0.2418,0.23485,2.46169,5.2186,3.62826,0.007162,0.007162,0.007162
45,49291.5,1.33867,2.66548,1.86752,0.13621,0.53888,0.23476,0.2278,2.46031,5.2211,3.62517,0.007096,0.007096,0.007096
46,50387.1,1.33855,2.6576,1.86726,0.13603,0.53884,0.23681,0.22983,2.45814,5.23967,3.62502,0.00703,0.00703,0.00703
47,51483.5,1.3426,2.64864,1.86818,0.13623,0.54146,0.23602,0.22903,2.4577,5.25775,3.62102,0.006964,0.006964,0.006964
48,52580.7,1.33962,2.65041,1.86523,0.13598,0.5396,0.23385,0.22685,2.45742,5.26192,3.61781,0.006898,0.006898,0.006898
49,53676,1.33464,2.64963,1.86456,0.13605,0.53943,0.23534,0.22832,2.45682,5.27244,3.62341,0.006832,0.006832,0.006832
50,54771.5,1.33192,2.64874,1.86242,0.1364,0.54088,0.23346,0.22643,2.45862,5.27188,3.62799,0.006766,0.006766,0.006766
51,55867.2,1.33176,2.65157,1.86236,0.13627,0.54044,0.17748,0.17043,2.45982,5.27319,3.62489,0.0067,0.0067,0.0067
52,56962.4,1.33127,2.64933,1.86076,0.13606,0.54019,0.17546,0.16833,2.46042,5.27013,3.62518,0.006634,0.006634,0.006634
53,1096.89,1.32533,2.64639,1.85715,0.13612,0.54032,0.17088,0.16376,2.45854,5.27557,3.62717,0.006568,0.006568,0.006568
54,2187.68,1.33269,2.64396,1.86364,0.13609,0.54046,0.17323,0.16611,2.45779,5.28507,3.62685,0.006502,0.006502,0.006502
55,3279.38,1.33075,2.65489,1.86291,0.13672,0.54117,0.17397,0.16684,2.45693,5.29058,3.62831,0.006436,0.006436,0.006436
56,4371.45,1.32983,2.64607,1.85759,0.13726,0.54082,0.24406,0.23689,2.4561,5.29307,3.62962,0.00637,0.00637,0.00637
57,5462.55,1.33149,2.65132,1.86399,0.1372,0.54151,0.24351,0.23634,2.45422,5.30471,3.62535,0.006304,0.006304,0.006304
58,6553.22,1.32855,2.64846,1.86242,0.13793,0.54164,0.24408,0.23687,2.45476,5.29459,3.62738,0.006238,0.006238,0.006238
59,7647.57,1.32736,2.64293,1.85868,0.13851,0.54015,0.24402,0.23682,2.4551,5.28538,3.62629,0.006172,0.006172,0.006172
60,8737.35,1.32549,2.64707,1.85656,0.13787,0.54072,0.24555,0.23834,2.45683,5.28319,3.62883,0.006106,0.006106,0.006106
61,9825.97,1.32421,2.64038,1.85341,0.13938,0.53198,0.24713,0.23996,2.45658,5.28355,3.62861,0.00604,0.00604,0.00604
62,10913.9,1.3285,2.6373,1.85569,0.13922,0.53391,0.25056,0.24334,2.45781,5.28567,3.62851,0.005974,0.005974,0.005974
63,12005.3,1.32517,2.63959,1.85734,0.13765,0.54217,0.24967,0.24242,2.45901,5.29498,3.62917,0.005908,0.005908,0.005908
64,13093.7,1.32204,2.63047,1.8509,0.1376,0.54045,0.25007,0.24281,2.45739,5.30887,3.62981,0.005842,0.005842,0.005842
65,14182,1.32206,2.63813,1.85199,0.13978,0.53205,0.2505,0.24322,2.45733,5.3128,3.63106,0.005776,0.005776,0.005776
66,15269.3,1.32246,2.6324,1.85486,0.13818,0.54175,0.24902,0.24171,2.45762,5.31564,3.63223,0.00571,0.00571,0.00571
67,16355.3,1.32129,2.63506,1.85443,0.13881,0.54159,0.24589,0.2386,2.4566,5.32175,3.63748,0.005644,0.005644,0.005644
68,17444.6,1.32004,2.63406,1.85513,0.14024,0.5387,0.24032,0.233,2.45246,5.33843,3.63351,0.005578,0.005578,0.005578
69,18535.3,1.31806,2.63159,1.85167,0.13956,0.54056,0.24422,0.23693,2.45103,5.34778,3.63266,0.005512,0.005512,0.005512
70,19628.9,1.31422,2.63083,1.84672,0.14162,0.53622,0.24782,0.24047,2.45043,5.36537,3.6293,0.005446,0.005446,0.005446
71,20721.8,1.31452,2.63433,1.84778,0.14273,0.52113,0.24985,0.24248,2.45073,5.37519,3.63023,0.00538,0.00538,0.00538
72,21814.3,1.31266,2.63539,1.84486,0.14225,0.51994,0.25007,0.24265,2.45046,5.38119,3.62936,0.005314,0.005314,0.005314
73,22905,1.31054,2.62677,1.84295,0.14318,0.51989,0.24311,0.23567,2.45038,5.3781,3.62828,0.005248,0.005248,0.005248
74,23989.6,1.3136,2.62765,1.84698,0.14325,0.51989,0.24306,0.23565,2.44899,5.37701,3.63053,0.005182,0.005182,0.005182
75,25077.4,1.31182,2.62062,1.84415,0.14162,0.5197,0.2449,0.23745,2.44746,5.37534,3.62407,0.005116,0.005116,0.005116
76,26163.1,1.31475,2.62767,1.84664,0.14076,0.5197,0.25011,0.24268,2.44818,5.36621,3.62054,0.00505,0.00505,0.00505
77,27249.2,1.31001,2.62227,1.8437,0.14022,0.51982,0.26595,0.25847,2.44732,5.37476,3.61487,0.004984,0.004984,0.004984
78,28334.6,1.30925,2.61647,1.84197,0.14322,0.52032,0.26318,0.25569,2.44861,5.37345,3.61163,0.004918,0.004918,0.004918
79,29418.8,1.31046,2.62368,1.84174,0.14392,0.52064,0.25967,0.25222,2.44637,5.37327,3.60612,0.004852,0.004852,0.004852
80,30505.2,1.30713,2.62519,1.84232,0.14225,0.52002,0.26229,0.25487,2.44351,5.37191,3.60393,0.004786,0.004786,0.004786
81,31592.3,1.30483,2.62498,1.84006,0.14169,0.52002,0.26469,0.25725,2.44367,5.35622,3.59911,0.00472,0.00472,0.00472
82,32678.8,1.30594,2.61963,1.84145,0.14118,0.52027,0.26315,0.2557,2.44403,5.36537,3.59779,0.004654,0.004654,0.004654
83,33764.8,1.3037,2.62029,1.8386,0.14129,0.52014,0.26139,0.25393,2.44078,5.38269,3.59702,0.004588,0.004588,0.004588
84,34852,1.30513,2.62429,1.84074,0.14179,0.52064,0.19784,0.19039,2.43869,5.38284,3.59316,0.004522,0.004522,0.004522
85,35939.2,1.29982,2.62233,1.83909,0.14187,0.52027,0.19995,0.19251,2.43516,5.385,3.59201,0.004456,0.004456,0.004456
86,37025.8,1.30374,2.62575,1.83982,0.14143,0.52014,0.19984,0.19241,2.436,5.39096,3.5954,0.00439,0.00439,0.00439
87,38112.5,1.3058,2.61787,1.83919,0.1408,0.52002,0.19572,0.18827,2.43519,5.3923,3.59356,0.004324,0.004324,0.004324
88,39199.3,1.29946,2.61224,1.83438,0.13925,0.52002,0.19562,0.18817,2.43428,5.39359,3.59035,0.004258,0.004258,0.004258
89,40284.6,1.30093,2.62138,1.83728,0.13833,0.52066,0.19317,0.18573,2.43394,5.40157,3.59035,0.004192,0.004192,0.004192
90,41372,1.29555,2.61761,1.83442,0.13867,0.52128,0.19635,0.18885,2.43278,5.41202,3.58827,0.004126,0.004126,0.004126
91,42459.4,1.29535,2.60674,1.8328,0.13958,0.5214,0.1923,0.18478,2.43477,5.40721,3.58772,0.00406,0.00406,0.00406
92,43550.4,1.29764,2.61066,1.83438,0.1397,0.52083,0.19922,0.1917,2.43583,5.40548,3.58621,0.003994,0.003994,0.003994
93,44639.7,1.29784,2.60884,1.83454,0.13816,0.52197,0.19865,0.19106,2.43595,5.40344,3.5846,0.003928,0.003928,0.003928
94,45730.6,1.29157,2.60924,1.83038,0.13792,0.52293,0.19695,0.18935,2.43339,5.40706,3.58148,0.003862,0.003862,0.003862
95,46822.1,1.2893,2.60995,1.82701,0.13889,0.52268,0.20235,0.19482,2.43251,5.41577,3.57641,0.003796,0.003796,0.003796
96,47912.1,1.29238,2.60293,1.83138,0.14018,0.52268,0.20138,0.19387,2.43111,5.42372,3.57142,0.00373,0.00373,0.00373
97,49002.2,1.29093,2.61369,1.83078,0.14175,0.52268,0.19609,0.18854,2.43083,5.42852,3.56971,0.003664,0.003664,0.003664
98,50094.5,1.28832,2.60692,1.82575,0.14082,0.52268,0.19842,0.19089,2.42984,5.43463,3.56707,0.003598,0.003598,0.003598
99,51181.8,1.29052,2.60431,1.82927,0.14252,0.52236,0.24101,0.23342,2.43001,5.42971,3.56174,0.003532,0.003532,0.003532
100,52270.6,1.28837,2.60866,1.82748,0.1429,0.52224,0.25235,0.24481,2.43066,5.42963,3.56114,0.003466,0.003466,0.003466
101,53358.7,1.28535,2.60061,1.82682,0.14186,0.52224,0.23915,0.23152,2.43251,5.42583,3.56436,0.0034,0.0034,0.0034
102,54447.8,1.28295,2.6041,1.82496,0.14234,0.52224,0.24216,0.23468,2.4342,5.4277,3.56923,0.003334,0.003334,0.003334
103,55534.6,1.28411,2.60583,1.82644,0.14232,0.52224,0.23948,0.23196,2.4339,5.42062,3.56932,0.003268,0.003268,0.003268
104,56618.4,1.28407,2.60135,1.82444,0.14266,0.52211,0.24043,0.23295,2.43416,5.41403,3.5701,0.003202,0.003202,0.003202
105,1151.31,1.27028,2.60144,1.81776,0.14216,0.52167,0.19751,0.19007,2.43532,5.41113,3.5749,0.003136,0.003136,0.003136
106,2253.62,1.27827,2.59367,1.82192,0.14276,0.52244,0.19828,0.19085,2.43472,5.4198,3.57757,0.00307,0.00307,0.00307
107,3355.95,1.27626,2.60699,1.82465,0.14258,0.52256,0.1991,0.19167,2.43596,5.42032,3.58366,0.003004,0.003004,0.003004
108,4462.94,1.27599,2.60024,1.82059,0.14234,0.52308,0.20363,0.19613,2.43733,5.41507,3.58754,0.002938,0.002938,0.002938
109,5565,1.2818,2.60247,1.82535,0.14134,0.5234,0.19954,0.19202,2.43704,5.41265,3.58699,0.002872,0.002872,0.002872
110,6666.52,1.27672,2.59984,1.81912,0.14214,0.5234,0.1938,0.18627,2.43475,5.41978,3.58596,0.002806,0.002806,0.002806
111,7769.39,1.27204,2.59613,1.81617,0.14007,0.52327,0.23699,0.22945,2.434,5.42968,3.58082,0.00274,0.00274,0.00274
112,8872.61,1.27194,2.60354,1.81582,0.13753,0.52372,0.23816,0.23059,2.43551,5.4297,3.57806,0.002674,0.002674,0.002674
113,9973.58,1.27053,2.59305,1.81558,0.13651,0.52423,0.23483,0.22726,2.43449,5.43142,3.5703,0.002608,0.002608,0.002608
114,11076.9,1.27355,2.59443,1.81729,0.13611,0.52423,0.19546,0.18784,2.42975,5.43591,3.56766,0.002542,0.002542,0.002542
115,12176.8,1.27169,2.59502,1.81869,0.13646,0.52423,0.23871,0.23104,2.42791,5.43749,3.56852,0.002476,0.002476,0.002476
116,13276.2,1.26619,2.59133,1.81437,0.13718,0.52386,0.20593,0.19825,2.42503,5.43548,3.56804,0.00241,0.00241,0.00241
117,14375.7,1.26893,2.59511,1.81377,0.1366,0.52398,0.20094,0.19329,2.42362,5.43292,3.56706,0.002344,0.002344,0.002344
118,15474.9,1.26403,2.58901,1.81197,0.13646,0.52411,0.1969,0.18926,2.42234,5.43174,3.56373,0.002278,0.002278,0.002278
119,16576.9,1.26265,2.59446,1.81351,0.13552,0.52411,0.1945,0.18686,2.42186,5.42452,3.56106,0.002212,0.002212,0.002212
120,17677.4,1.26245,2.59278,1.81456,0.1357,0.52423,0.19481,0.18717,2.42035,5.41567,3.55836,0.002146,0.002146,0.002146
121,18777.2,1.2626,2.58792,1.81059,0.13585,0.52436,0.19582,0.18823,2.4206,5.40514,3.55761,0.00208,0.00208,0.00208
122,19881.2,1.25634,2.58813,1.8068,0.13545,0.52473,0.19683,0.18928,2.42061,5.40564,3.55398,0.002014,0.002014,0.002014
123,20981.5,1.25675,2.59354,1.81084,0.1354,0.52473,0.19576,0.18821,2.41975,5.40931,3.55436,0.001948,0.001948,0.001948
124,22083.5,1.25684,2.58633,1.80557,0.1354,0.52423,0.19595,0.18837,2.41935,5.40051,3.55225,0.001882,0.001882,0.001882
125,23187,1.25399,2.58213,1.80483,0.13529,0.52423,0.19862,0.19107,2.41873,5.40237,3.55129,0.001816,0.001816,0.001816
126,24287.9,1.25709,2.58167,1.80813,0.1355,0.52498,0.1945,0.18697,2.41947,5.3994,3.55709,0.00175,0.00175,0.00175
127,25388,1.25436,2.57697,1.80486,0.13522,0.52436,0.20158,0.19401,2.42093,5.39986,3.56029,0.001684,0.001684,0.001684
128,26489.7,1.25744,2.58317,1.80618,0.13524,0.52461,0.17234,0.16473,2.42218,5.39609,3.55691,0.001618,0.001618,0.001618
129,27590.1,1.25141,2.57956,1.80386,0.13537,0.52473,0.16775,0.16016,2.42227,5.39032,3.5577,0.001552,0.001552,0.001552
130,28691.7,1.24815,2.57439,1.80088,0.13533,0.52473,0.17098,0.16337,2.42345,5.389,3.55564,0.001486,0.001486,0.001486
131,29791.8,1.25012,2.57929,1.80077,0.13526,0.52461,0.19358,0.18601,2.42267,5.38916,3.55225,0.00142,0.00142,0.00142
132,30892.2,1.24819,2.57615,1.80034,0.1354,0.52473,0.26466,0.2571,2.42164,5.38513,3.5493,0.001354,0.001354,0.001354
133,31992.3,1.24368,2.57711,1.79926,0.13544,0.52485,0.25911,0.25155,2.42237,5.38155,3.54558,0.001288,0.001288,0.001288
134,33088.3,1.24213,2.57342,1.79687,0.1355,0.52485,0.26104,0.25349,2.42302,5.38344,3.54185,0.001222,0.001222,0.001222
135,34184.7,1.24181,2.56975,1.79508,0.13575,0.52498,0.19787,0.1903,2.42132,5.37657,3.54282,0.001156,0.001156,0.001156
136,35280.9,1.24312,2.57195,1.79837,0.13585,0.52498,0.19744,0.18989,2.42009,5.36693,3.54255,0.00109,0.00109,0.00109
137,36376.8,1.23793,2.56898,1.79425,0.13581,0.52473,0.19872,0.19122,2.42075,5.36135,3.5425,0.001024,0.001024,0.001024
138,37473.2,1.24102,2.57454,1.7962,0.13589,0.52473,0.1754,0.16793,2.42116,5.36159,3.54199,0.000958,0.000958,0.000958
139,38571.2,1.23843,2.57233,1.79324,0.13571,0.52473,0.16981,0.1624,2.42111,5.36607,3.53994,0.000892,0.000892,0.000892
140,39666.8,1.23092,2.56547,1.78934,0.13562,0.52473,0.1704,0.16301,2.41928,5.37381,3.53511,0.000826,0.000826,0.000826
141,40683.3,1.32528,2.57402,1.99254,0.13553,0.52473,0.18152,0.17411,2.41559,5.35768,3.53345,0.00076,0.00076,0.00076
142,41695,1.32429,2.5479,1.98703,0.13546,0.5242,0.19755,0.19012,2.41198,5.33027,3.53264,0.000694,0.000694,0.000694
143,42707.7,1.322,2.53999,1.98411,0.13538,0.52411,0.25558,0.24811,2.41077,5.31621,3.52981,0.000628,0.000628,0.000628
144,43721.1,1.31429,2.53679,1.97978,0.13577,0.52386,0.25839,0.25093,2.4118,5.30205,3.53055,0.000562,0.000562,0.000562
145,44734.9,1.3138,2.5343,1.97619,0.13544,0.52342,0.26035,0.2529,2.41168,5.29943,3.53383,0.000496,0.000496,0.000496
146,45748.3,1.30911,2.53128,1.97405,0.1356,0.52329,0.26808,0.26059,2.41115,5.29959,3.53671,0.00043,0.00043,0.00043
147,46761.2,1.3088,2.52564,1.97406,0.13578,0.5231,0.25316,0.2457,2.41218,5.29573,3.53926,0.000364,0.000364,0.000364
148,47775,1.30865,2.52655,1.97331,0.13606,0.52329,0.26623,0.25879,2.41285,5.28828,3.54118,0.000298,0.000298,0.000298
149,48788.3,1.30459,2.52511,1.97103,0.13637,0.52329,0.2851,0.27764,2.41389,5.2805,3.54786,0.000232,0.000232,0.000232
150,49800.1,1.30181,2.51872,1.97,0.1367,0.52342,0.2851,0.27756,2.41436,5.26707,3.55266,0.000166,0.000166,0.000166
