epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,2946.34,0.94083,0.6671,1.07931,0.69289,0.51505,0.56839,0.35686,0.97844,0.65929,1.08495,0.000117858,0.000117858,0.000117858
21,5723.48,0.91584,0.63822,1.07293,0.70999,0.53006,0.57815,0.36478,0.97968,0.65671,1.08911,9.9008e-05,9.9008e-05,9.9008e-05
22,8479.21,0.90269,0.61837,1.06116,0.73169,0.51384,0.58047,0.36765,0.9688,0.64432,1.08119,8.01584e-05,8.01584e-05,8.01584e-05
23,11452.7,0.89026,0.60693,1.05727,0.70795,0.54229,0.5878,0.37185,0.96335,0.63156,1.07728,6.13088e-05,6.13088e-05,6.13088e-05
24,14294.5,0.87467,0.59216,1.04962,0.70839,0.53419,0.58804,0.37346,0.95965,0.6285,1.0769,4.24592e-05,4.24592e-05,4.24592e-05
25,17158.2,0.86869,0.58093,1.04391,0.73019,0.53135,0.59633,0.37964,0.9556,0.623,1.0736,2.36096e-05,2.36096e-05,2.36096e-05
